date,k18,k21,k22,traditional,Log_Returns
2012-07-19,4414.4791552945635,5135.821231198935,5400.257633926662,3579.3145082933693,-0.004671772126374895
2012-07-20,4401.234107106739,5121.012989282793,5383.578840703726,3562.3395476221026,-0.004753798631487886
2012-07-21,4387.881241874617,5106.082041550437,5366.769870767781,3545.1839986793157,-0.004827442961640607
2012-07-22,4374.448372312516,5091.0595821875495,5349.865699312969,3527.8813711321604,-0.0048925497381853795
2012-07-23,4360.96331113475,5075.976805379809,5332.90130153343,3510.4651746477866,-0.004948955530327572
2012-07-24,4347.453871055639,5060.864905312901,5315.911652623313,3492.96891889335,-0.004996489413650124
2012-07-25,4333.9478647895,5045.755076172505,5298.931727776756,3475.4261135359984,-0.00503497357318967
2012-07-26,4320.473105050652,5030.6785121443045,5281.996502187903,3457.870268242887,-0.0050642239554430585
2012-07-27,4307.057404553412,5015.666407413983,5265.140951050901,3440.3348926811673,-0.005084050973610436
2012-07-28,4293.728576012098,5000.749956167219,5248.4000495598875,3422.8534965179897,-0.005094260270156293
2012-07-29,4280.514432141026,4985.960352589696,5231.808772909008,3405.4595894205067,-0.005094653540586617
2012-07-30,4267.442785654517,4971.328790867097,5215.402096292408,3388.1866810558704,-0.005085029422046396
2012-07-31,4254.541449266886,4956.886465185103,5199.214994904227,3371.0682810912335,-0.005065184449990354
2012-08-01,4241.838235692452,4942.664569729396,5183.2824439386095,3354.1378991937477,-0.005034914085769412
2012-08-02,4229.360957645533,4928.694298685659,5167.639418589699,3337.4290450305634,-0.004994013817466903
2012-08-03,4217.1374278404455,4915.006846239572,5152.320894051639,3320.975228268834,-0.004942280335733201
2012-08-04,4205.195458991509,4901.63340657682,5137.3618455185715,3304.809958575712,-0.004879512785689708
2012-08-05,4193.56286381304,4888.605173883082,5122.79724818464,3288.9667456183474,-0.004805514095184015
2012-08-06,4182.267455019355,4875.953342344041,5108.662077243987,3273.479099063893,-0.004720092378804589
2012-08-07,4171.337045324775,4863.709106145381,5094.9913078907575,3258.380528579502,-0.004623062416076899
2012-08-08,4160.799447443616,4851.903659472781,5081.8199153190935,3243.704543832325,-0.00451424720117243
2012-08-09,4150.682474090196,4840.568196511926,5069.1828747231375,3229.484654489514,-0.004393479560265924
2012-08-10,4141.0139379788325,4829.733911448496,5057.115161297034,3215.7543702182215,-0.004260603831400813
2012-08-11,4131.821651823843,4819.431998468172,5045.651750234925,3202.547200685599,-0.00411547760032983
2012-08-12,4123.133428339546,4809.693651756639,5034.827616730954,3189.8966555587986,-0.0039579734843522155
2012-08-13,4114.977080240258,4800.550065499578,5024.677735979264,3177.836244504972,-0.0037879809546463882
2012-08-14,4107.380420240299,4792.0324338826695,5015.237083173999,3166.399477191272,-0.0036054081860272228
2012-08-15,4100.371261053984,4784.171951091596,5006.540633509301,3155.6198632848495,-0.0034101839214782325
2012-08-16,4093.9774153956323,4776.99981131204,4998.623362179313,3145.5309124528562,-0.003202259337211321
2012-08-17,4088.2266959795625,4770.547208729685,4991.520244378178,3136.1661343624455,-0.0029816098924717667
2012-08-18,4083.146915520091,4764.845337530211,4985.266255300041,3127.5590386807685,-0.002748237146811487
2012-08-19,4078.7658867315354,4759.9253918993,4979.896370139044,3119.743135074977,-0.002502170526176687
2012-08-20,4075.111422328214,4755.818566022635,4975.445564089328,3112.751933212223,-0.0022434690179357624
2012-08-21,4072.2113350244454,4752.556054085899,4971.948812345041,3106.618942759659,-0.0019722227739132087
2012-08-22,4070.093437534545,4750.1690502747715,4969.441090100321,3101.377673384436,-0.001688554599699962
2012-08-23,4068.785542572834,4748.688748774936,4967.957372549316,3097.0616347537075,-0.0013926213079487482
2012-08-24,4068.3154628536263,4748.146343772074,4967.532634886164,3093.704336534623,-0.0010846149131720454
2012-08-25,4068.7110110912427,4748.573029451868,4968.201852305011,3091.3392883943366,-0.0007647636456510735
2012-08-26,4070.0,4750.0,4970.0,3090.0,-0.0004333327626291381
2012-08-27,4072.2020672813824,4752.4502585515565,4972.949918378304,3089.7062346086286,-9.507422535635234e-05
2012-08-28,4075.304150585552,4755.914044039249,4977.025908699219,3090.4227698367054,0.0002318835839096027
2012-08-29,4079.2850125498344,4760.3734043451905,4982.190137435066,3092.100636890572,0.0005427774339629029
2012-08-30,4084.1234158115585,4765.8103873515,4988.404771058177,3094.690866976576,0.0008373420166910754
2012-08-31,4089.7981230080477,4772.207040940287,4995.631976040868,3098.14449130106,0.0011153613757555832
2012-09-01,4096.287896776632,4779.54541299367,5003.833918855469,3102.4125410703705,0.0013766667804520538
2012-09-02,4103.571499754639,4787.807551393765,5012.972765974307,3107.4460474908524,0.0016211343466415171
2012-09-03,4111.627694579396,4796.975504022684,5023.0106838697,3113.196041768851,0.001848682445671466
2012-09-04,4120.435243888229,4807.031318762546,5033.909839013979,3119.61355511071,0.0020592689412195497
2012-09-05,4129.972910318465,4817.957043495463,5045.632397879466,3126.6496187227754,0.0022528882924771486
2012-09-06,4140.219456507435,4829.734726103553,5058.140526938488,3134.255263811393,0.002429568559986642
2012-09-07,4151.153645092461,4842.346414468928,5071.396392663367,3142.3815215829054,0.0025893683479827
2012-09-08,4162.754238710873,4855.774156473704,5085.362161526427,3150.979423243659,0.0027323737142559033
2012-09-09,4175.0,4870.0,5100.0,3160.0,0.002858695075516522
2012-09-10,4187.8201257506935,4884.946460074579,5115.219290876857,3169.362605036977,0.0029584691066382746
2012-09-11,4200.945549367937,4900.29792030282,5130.718282231592,3178.8598794544687,0.0029921073264894404
