Date,Value,Rate_Log_Returns
2013-05-16,77.77,0.0
2013-05-17,77.75,-0.00025720164750831447
2013-05-18,77.75666666666666,8.574123301143601e-05
2013-05-19,77.76333333333334,8.573388208279652e-05
2013-05-20,77.77,8.57265324140981e-05
2013-05-21,77.76,-0.00012859255466818938
2013-05-22,77.74,-0.00025723472810666243
2013-05-23,77.72,-0.00025730091483768105
2013-05-24,77.68,-0.0005148005261698025
2013-05-25,77.71000000000001,0.0003861252380814654
2013-05-26,77.74,0.0003859762029261837
2013-05-27,77.77,0.00038582728277492136
2013-05-28,77.75,-0.00025720164750831447
2013-05-29,77.75,0.0
2013-05-30,77.75,0.0
2013-05-31,77.72,-0.0003859265501041916
2013-06-01,77.72,0.0
2013-06-02,77.72,0.0
2013-06-03,77.72,0.0
2013-06-04,77.72,0.0
2013-06-05,77.72,0.0
2013-06-06,77.75,0.00038592655010426876
2013-06-07,77.73,-0.0002572678172151554
2013-06-08,77.72666666666667,-4.2884405092644756e-05
2013-06-09,77.72333333333333,-4.288624424385452e-05
2013-06-10,77.72,-4.288808355250405e-05
2013-06-11,77.74,0.00025730091483767937
2013-06-12,77.75,0.0001286256352663683
2013-06-13,77.73,-0.0002572678172151554
2013-06-14,77.72,-0.00012865873288901464
2013-06-15,77.72,0.0
2013-06-16,77.72,0.0
2013-06-17,77.72,0.0
2013-06-18,77.73,0.0001286587328889139
2013-06-19,77.73,0.0
2013-06-20,77.72,-0.00012865873288901464
2013-06-21,77.7,-0.00025736713563749347
2013-06-22,77.68333333333334,-0.00021452322296148412
2013-06-23,77.66666666666667,-0.00021456925304942485
2013-06-24,77.65,-0.00021461530289481332
2013-06-25,77.6,-0.0006441224055231319
2013-06-26,77.58,-0.0002577651773519535
2013-06-27,77.72,0.0018029624974182919
2013-06-28,77.7,-0.00025736713563749347
2013-06-29,77.71000000000001,0.0001286918475492064
2013-06-30,77.72,0.00012867528808839832
2013-07-01,77.73,0.0001286587328889139
2013-07-02,77.75,0.00025726781721511236
2013-07-03,77.74,-0.00012862563526648972
2013-07-04,77.76,0.0002572347281066682
2013-07-05,77.75,-0.00012860909284018602
2013-07-06,77.74333333333334,-8.57485852007536e-05
2013-07-07,77.73666666666666,-8.575593865143213e-05
2013-07-08,77.73,-8.576329336293109e-05
2013-07-09,77.74,0.00012864218194875518
2013-07-10,77.72,-0.00025730091483768105
2013-07-11,77.7,-0.00025736713563749347
2013-07-12,77.7,0.0
2013-07-13,77.70666666666666,8.579640518311582e-05
2013-07-14,77.71333333333334,8.57890447917086e-05
2013-07-15,77.72,8.578168566268456e-05
2013-07-16,77.7,-0.00025736713563749347
2013-07-17,77.68,-0.0002574333905322034
2013-07-18,77.67,-0.0001287415515135814
2013-07-19,77.65,-0.00025753283685986535
2013-07-20,77.67666666666668,0.00034336237944105935
2013-07-21,77.70333333333333,0.0003432445221838923
2013-07-22,77.73,0.000343126745807009
